FROM,TO,TYPE,R,X,B,LIM1,LIM2,LIM3,TAP,TAPMIN,TAPMAX,STEP,TANG
1,2,0,0.01938,0.05917,0.0528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0,0.05403,0.22304,0.0492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0,0.04699,0.19797,0.0438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0,0.05811,0.17632,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,0,0.05695,0.17388,0.0346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0,0.06701,0.17103,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0,0.01335,0.04211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7,0,0.0,0.20912,0.0,0.0,0.0,0.0,0.978,0.0,0.0,0.0,0.0
4,9,0,0.0,0.55618,0.0,0.0,0.0,0.0,0.969,0.0,0.0,0.0,0.0
5,6,0,0.0,0.25202,0.0,0.0,0.0,0.0,0.932,0.0,0.0,0.0,0.0
6,11,0,0.09498,0.1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,12,0,0.12291,0.25581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,13,0,0.06615,0.13027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,0,0.0,0.17615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9,0,0.0,0.11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,0,0.03181,0.0845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14,0,0.12711,0.27038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11,0,0.08205,0.19207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13,0,0.22092,0.19988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14,0,0.17093,0.34802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
